SM,ST,Temp,Humidity,SR,Rain,PSM
26.37,70.77,70.61,82.2,0.92,0,26.367363
26.38,70.79,68.89,84.32,0,0,26.377362
26.38,70.78,67.25,86.57,0,0,26.377362
26.38,70.78,65.98,88.54,0,0,26.377362
26.38,70.78,64.64,90.26,0,0,26.377362
26.38,70.74,64.09,91.34,0,0.2,26.577362
26.39,70.73,63.64,91.95,0,0.4,26.787361
26.4,70.7,62.46,92.32,0,0.4,26.79736
26.4,70.69,61.55,92.34,0,0,26.39736
26.43,70.65,61.21,91.64,0,0,26.427357
26.42,70.63,60.17,91.34,0,0,26.417358
26.41,70.63,59.31,91.96,0,0,26.407359
26.37,70.63,58.89,92.47,6.92,0,26.367363
26.36,70.67,61.2,92.65,51,0,26.357364
26.34,70.7,64.98,88.9,180.88,0,26.337366
26.32,70.77,68.53,81,232.6,0,26.317368
26.3,70.85,71.75,77.93,495.33,0,26.29737
26.3,70.94,74.71,77.28,608.38,0,26.29737
26.3,71.01,77.46,75.85,594.13,0,26.29737
26.29,71.11,79.25,75.61,811.7,0,26.287371
26.29,71.19,81.65,73.95,964.54,0,26.287371
26.3,71.29,82.89,74.37,871.42,0,26.29737
26.29,71.35,83.15,74.24,772.88,0,26.287371
26.29,71.37,83.35,75.23,813.8,0,26.287371
26.3,71.41,84.77,73.56,659.58,0,26.29737
26.3,71.44,83.85,75.35,367.21,0,26.29737
26.3,71.44,83.76,76.38,369.83,0,26.29737
26.31,71.46,83.43,76.6,233.7,0,26.307369
26.31,71.5,81.51,81.09,81.13,0,26.307369
26.32,71.51,78.56,86.48,4.75,0,26.317368
26.3,71.5,76.93,89.31,0,0,26.29737
26.3,71.5,76.14,90.89,0,0,26.29737
26.3,71.52,75.87,90.99,0,0,26.29737
26.28,71.53,75.93,91.01,0,0,26.277372
26.25,71.56,74.95,92.41,0,0,26.247375
26.23,71.56,74.07,93.67,0,0,26.227377
26.2,71.6,73.4,94.18,0,0,26.19738
26.17,71.66,73.14,94.68,0,0,26.167383
26.16,71.73,72.71,94.89,0,0,26.157384
26.13,71.84,72.38,95.37,0,0,26.127387
26.11,71.92,72.51,95.64,0,0,26.107389
26.1,71.98,72.51,95.85,0.5,0,26.09739
26.11,72.03,72.36,95.94,13.75,0,26.107389
26.12,72.09,72.42,96.17,49.33,0,26.117388
26.12,72.14,73.32,95.95,168.13,0,26.117388
26.12,72.19,75.42,92.58,281.08,0,26.117388
26.12,72.21,77.23,88.25,443.04,0,26.117388
26.13,72.22,80.69,80.36,579.2,0,26.127387
26.14,72.27,82.83,72.44,673.13,0,26.137386
26.14,72.25,84.07,71.06,576.38,0,26.137386
26.13,72.23,83.4,70.98,445.33,0,26.127387
26.14,72.21,81.94,74.31,205,0,26.137386
26.13,72.22,81.01,79.29,215.5,0,26.127387
26.13,72.21,82.16,77.1,474.63,0,26.127387
26.13,72.19,82.68,75.4,317.75,0,26.127387
26.13,72.17,81.33,77.73,226.1,0,26.127387
26.11,72.14,81.72,76.59,384.88,0,26.107389
26.09,72.13,80.41,78.78,163,0,26.087391
26.06,72.09,77.82,83.92,27.25,0,26.057394
26.02,72.07,74,89.22,0.6,0,26.017398
26.01,72.09,72.52,92.09,0,0,26.007399
25.97,72.12,71.87,93.13,0,0,25.967403
25.95,72.14,71.65,94.03,0,0,25.947405
25.92,72.19,71.71,94.67,0,0,25.917408
25.91,72.21,71.79,94.93,0,0,25.907409
25.91,72.25,71.94,95.05,0,0,25.907409
25.91,72.27,71.65,95.2,0,0,25.907409
25.92,72.29,71.61,95.47,0,0,25.917408
25.91,72.29,70.9,95.46,0,0,25.907409
25.92,72.27,69.91,95.59,0,0,25.917408
25.91,72.28,70,95.88,0,0,25.907409
25.91,72.24,69.95,95.81,10.73,0,25.907409
25.91,72.2,70.63,96.24,75.75,0,25.907409
25.91,72.14,73.1,96.06,181.17,0,25.907409
25.92,72.1,75.57,93.22,212.83,0.01,25.927408
25.91,72.06,79.49,82.89,454.47,0,25.907409
25.93,72.01,81.59,80.01,543.63,0,25.927407
25.93,71.97,83.16,76.11,587.25,0,25.927407
25.92,71.93,85.05,72.97,817.79,0,25.917408
25.91,71.88,85.92,70.55,777.47,0,25.907409
25.87,71.82,87.45,65.5,842.96,0,25.867413
25.87,71.77,88.02,65.19,672.04,0,25.867413
25.87,71.76,88.34,65.81,718.75,0,25.867413
25.86,71.74,88.26,64.41,638.37,0,25.857414
25.86,71.74,87.58,64.3,490.75,0,25.857414
25.85,71.72,86.41,68.02,306.13,0,25.847415
25.85,71.76,85.11,70.75,209.71,0,25.847415
25.84,71.78,82.49,74.78,48.3,0,25.837416
25.84,71.81,79.2,80.47,2.17,0,25.837416
25.84,71.8,77.42,83.73,0,0,25.837416
25.84,71.81,76.3,85.94,0,0,25.837416
25.85,71.81,74.78,87.64,0,0,25.847415
25.84,71.77,73.18,89.81,0,0,25.837416
25.84,71.74,72.27,91.64,0,0,25.837416
25.84,71.7,71.69,92.81,0,0,25.837416
25.85,71.66,71.52,93.61,0,0,25.847415
25.85,71.62,71.68,93.83,0,0,25.847415
